doc	case	index	path	text	rid	bytes
1	1	1	/assets/cases/case-analysis-1/case-001-01.png	案例1：	rId2	152116
1	1	2	/assets/cases/case-analysis-1/case-001-02.png	15-25岁，被朋友带坏，贪玩影响学业	rId3	171279
1	2	1	/assets/cases/case-analysis-1/case-002-01.jpeg	案例2：	rId5	43702
1	3	1	/assets/cases/case-analysis-1/case-003-01.jpeg		rId6	35092
1	4	1	/assets/cases/case-analysis-1/case-004-01.jpeg	案例4：克夫八字	rId7	37153
1	5	1	/assets/cases/case-analysis-1/case-005-01.jpeg	案例5：	rId8	94103
1	6	1	/assets/cases/case-analysis-1/case-006-01.jpeg	案例6：	rId9	39456
1	7	1	/assets/cases/case-analysis-1/case-007-01.jpeg		rId10	81386
1	8	1	/assets/cases/case-analysis-1/case-008-01.jpeg	案例8：	rId11	117866
1	9	1	/assets/cases/case-analysis-1/case-009-01.jpeg		rId12	76747
1	10	1	/assets/cases/case-analysis-1/case-010-01.jpeg	案例10：	rId13	134577
1	11	1	/assets/cases/case-analysis-1/case-011-01.jpeg		rId14	46456
1	12	1	/assets/cases/case-analysis-1/case-012-01.jpeg	案例12：	rId15	114001
1	13	1	/assets/cases/case-analysis-1/case-013-01.jpeg		rId16	73527
1	14	1	/assets/cases/case-analysis-1/case-014-01.jpeg	案例14：	rId17	113528
1	15	1	/assets/cases/case-analysis-1/case-015-01.jpeg	案例15：	rId18	119268
1	16	1	/assets/cases/case-analysis-1/case-016-01.jpeg	案例16：	rId19	124150
1	17	1	/assets/cases/case-analysis-1/case-017-01.jpeg	案例17：	rId20	114944
1	18	1	/assets/cases/case-analysis-1/case-018-01.jpeg	案例18：	rId21	115248
1	19	1	/assets/cases/case-analysis-1/case-019-01.jpeg	案例19：	rId22	131454
1	19	2	/assets/cases/case-analysis-1/case-019-02.jpeg	但甲木生火	rId23	131290
1	21	1	/assets/cases/case-analysis-1/case-021-01.jpeg		rId24	136122
1	22	1	/assets/cases/case-analysis-1/case-022-01.jpeg		rId25	92400
1	22	2	/assets/cases/case-analysis-1/case-022-02.jpeg	案例22：婚姻	rId26	80540
1	22	3	/assets/cases/case-analysis-1/case-022-03.jpeg		rId27	84692
1	22	4	/assets/cases/case-analysis-1/case-022-04.jpeg		rId28	87502
1	22	5	/assets/cases/case-analysis-1/case-022-05.jpeg		rId29	124948
1	22	6	/assets/cases/case-analysis-1/case-022-06.jpeg	自己会想去抢别人男人	rId30	128266
1	22	7	/assets/cases/case-analysis-1/case-022-07.jpeg	这个丁壬合，是自己的孩子	rId31	132981
1	23	1	/assets/cases/case-analysis-1/case-023-01.jpeg		rId32	84727
1	24	1	/assets/cases/case-analysis-1/case-024-01.jpeg	案例24：	rId33	91843
1	24	2	/assets/cases/case-analysis-1/case-024-02.jpeg	什么大运都得用金水	rId34	84402
1	26	1	/assets/cases/case-analysis-1/case-026-01.jpeg		rId35	133134
1	27	1	/assets/cases/case-analysis-1/case-027-01.jpeg	案例27：	rId36	83827
1	28	1	/assets/cases/case-analysis-1/case-028-01.jpeg		rId37	134671
1	29	1	/assets/cases/case-analysis-1/case-029-01.jpeg		rId38	143363
1	30	1	/assets/cases/case-analysis-1/case-030-01.jpeg	案例30：	rId39	132026
1	31	1	/assets/cases/case-analysis-1/case-031-01.jpeg	案例31：	rId40	129452
1	32	1	/assets/cases/case-analysis-1/case-032-01.jpeg	案例32：	rId41	147156
1	33	1	/assets/cases/case-analysis-1/case-033-01.jpeg	案例33：	rId42	84658
1	34	1	/assets/cases/case-analysis-1/case-034-01.jpeg	案例34：	rId43	108577
1	35	1	/assets/cases/case-analysis-1/case-035-01.jpeg	案例35：	rId44	688348
1	36	1	/assets/cases/case-analysis-1/case-036-01.jpeg		rId45	312761
1	36	2	/assets/cases/case-analysis-1/case-036-02.jpeg	还要有丁	rId46	84649
1	38	1	/assets/cases/case-analysis-1/case-038-01.jpeg	案例38：	rId47	144595
2	51	1	/assets/cases/case-analysis-2/case-051-01.jpeg	案例51：	rId4	791724
2	51	2	/assets/cases/case-analysis-2/case-051-02.jpeg	木也必然，松土还是可以用	rId4	791724
2	52	1	/assets/cases/case-analysis-2/case-052-01.jpeg	案例52：	rId5	130760
2	53	1	/assets/cases/case-analysis-2/case-053-01.jpeg	案例53：	rId6	78027
2	54	1	/assets/cases/case-analysis-2/case-054-01.jpeg		rId7	887574
2	54	2	/assets/cases/case-analysis-2/case-054-02.jpeg	用火土	rId7	887574
2	55	1	/assets/cases/case-analysis-2/case-055-01.jpeg	案例55：	rId8	134947
2	56	1	/assets/cases/case-analysis-2/case-056-01.jpeg		rId9	94515
2	57	1	/assets/cases/case-analysis-2/case-057-01.jpeg		rId10	142075
2	58	1	/assets/cases/case-analysis-2/case-058-01.jpeg	案例58：	rId11	914424
2	58	2	/assets/cases/case-analysis-2/case-058-02.jpeg	寅月，初春寒气	rId11	914424
2	59	1	/assets/cases/case-analysis-2/case-059-01.jpeg	案例59：	rId12	166829
2	62	1	/assets/cases/case-analysis-2/case-062-01.jpeg	案例62：勺子的弟弟	rId13	897304
2	60	1	/assets/cases/case-analysis-2/case-060-01.jpeg	案例60：	rId14	64167
2	61	1	/assets/cases/case-analysis-2/case-061-01.jpeg	案例61：	rId13	897304
2	61	2	/assets/cases/case-analysis-2/case-061-02.jpeg	他20年搞网络赚了不少	rId13	897304
2	63	1	/assets/cases/case-analysis-2/case-063-01.jpeg		rId15	161387
2	64	1	/assets/cases/case-analysis-2/case-064-01.jpeg	案例64：	rId16	167014
2	65	1	/assets/cases/case-analysis-2/case-065-01.jpeg	案例65：	rId17	142632
2	66	1	/assets/cases/case-analysis-2/case-066-01.jpeg	案例66：	rId18	136594
2	66	2	/assets/cases/case-analysis-2/case-066-02.jpeg	案例66：群里专业修水电，鸽子	rId19	161373
2	67	1	/assets/cases/case-analysis-2/case-067-01.jpeg	案例67：	rId20	142236
2	68	1	/assets/cases/case-analysis-2/case-068-01.jpeg	案例68：勺子	rId21	76469
2	69	1	/assets/cases/case-analysis-2/case-069-01.jpeg	案例69：	rId22	114925
2	70	1	/assets/cases/case-analysis-2/case-070-01.jpeg	案例70：未婚北京律师	rId23	147573
2	71	1	/assets/cases/case-analysis-2/case-071-01.jpeg	案例71：	rId24	149643
2	72	1	/assets/cases/case-analysis-2/case-072-01.jpeg	案例72：	rId25	113864
2	73	1	/assets/cases/case-analysis-2/case-073-01.jpeg	案例73：	rId26	130066
2	73	2	/assets/cases/case-analysis-2/case-073-02.jpeg	印被这些水火给搞的肯定状态不好	rId27	119966
2	75	1	/assets/cases/case-analysis-2/case-075-01.jpeg	案例75：	rId28	151921
2	75	2	/assets/cases/case-analysis-2/case-075-02.jpeg	确实异性缘也多，容易出轨	rId29	95897
2	76	1	/assets/cases/case-analysis-2/case-076-01.jpeg	案例76：	rId30	130649
2	76	2	/assets/cases/case-analysis-2/case-076-02.jpeg		rId31	83645
2	77	1	/assets/cases/case-analysis-2/case-077-01.jpeg	案例77：男同	rId32	117787
2	78	1	/assets/cases/case-analysis-2/case-078-01.jpeg	案例78：	rId33	86002
2	78	2	/assets/cases/case-analysis-2/case-078-02.jpeg	案例78：	rId34	62044
2	79	1	/assets/cases/case-analysis-2/case-079-01.jpeg		rId35	93724
2	79	2	/assets/cases/case-analysis-2/case-079-02.jpeg	儿子	rId36	102796
2	80	1	/assets/cases/case-analysis-2/case-080-01.jpeg	案例80：	rId37	95694
2	81	1	/assets/cases/case-analysis-2/case-081-01.jpeg		rId38	95858
2	82	1	/assets/cases/case-analysis-2/case-082-01.jpeg	案例82：	rId39	117658
2	83	1	/assets/cases/case-analysis-2/case-083-01.jpeg		rId40	103070
2	84	1	/assets/cases/case-analysis-2/case-084-01.jpeg		rId41	56996
